                time     magnetic_energy     mhd_enstrophy_j mhd_enstrophy_gradb     mhd_dissipation                Jmax
  0.990000000000E+00  0.244835342062E+01  0.196290037465E+02  0.196329927839E+02  0.785319729113E+00  0.407128049794E+02
  0.100000000000E+01  0.244722291934E+01  0.197425653920E+02  0.197461198552E+02  0.789844811459E+00  0.430577244303E+02
  0.101000000000E+01  0.244556860345E+01  0.198419954606E+02  0.198450408986E+02  0.793801652695E+00  0.451898191434E+02
  0.102000000000E+01  0.244338838242E+01  0.199251548117E+02  0.199276236249E+02  0.797104961262E+00  0.470812617082E+02
  0.103000000000E+01  0.244068254686E+01  0.199901368480E+02  0.199919700866E+02  0.799678819262E+00  0.487093697207E+02
  0.104000000000E+01  0.243745375060E+01  0.200353159056E+02  0.200364646765E+02  0.801458602413E+00  0.500569260045E+02
  0.105000000000E+01  0.243370694407E+01  0.200593833535E+02  0.200598098026E+02  0.802392407042E+00  0.511122998256E+02
  0.106000000000E+01  0.242944926277E+01  0.200613707925E+02  0.200610486555E+02  0.802441960762E+00  0.518693852045E+02
  0.107000000000E+01  0.242468987584E+01  0.200406604777E+02  0.200395752147E+02  0.801583022767E+00  0.523273789750E+02
  0.108000000000E+01  0.241943980115E+01  0.199969837300E+02  0.199951322796E+02  0.799805305021E+00  0.524904254058E+02
  0.109000000000E+01  0.241371169392E+01  0.199304086030E+02  0.199277988042E+02  0.797111965686E+00  0.523671561673E+02
  0.110000000000E+01  0.240751961621E+01  0.198413184353E+02  0.198379681769E+02  0.793518740296E+00  0.519701545269E+02
  0.111000000000E+01  0.240087879491E+01  0.197303831272E+02  0.197263192874E+02  0.789052784434E+00  0.513153712776E+02
  0.112000000000E+01  0.239380537532E+01  0.195985250551E+02  0.195937822951E+02  0.783751304475E+00  0.504215174513E+02
  0.113000000000E+01  0.238631617687E+01  0.194468814944E+02  0.194415009666E+02  0.777660051083E+00  0.493094557334E+02
  0.114000000000E+01  0.237842845716E+01  0.192767652871E+02  0.192707933122E+02  0.770831744663E+00  0.480016089855E+02
  0.115000000000E+01  0.237015968907E+01  0.190896252881E+02  0.190831120487E+02  0.763324493892E+00  0.465214006852E+02
  0.116000000000E+01  0.236152735542E+01  0.188870078886E+02  0.188800061785E+02  0.755200258855E+00  0.448927385902E+02
  0.117000000000E+01  0.235254876420E+01  0.186705206576E+02  0.186630847157E+02  0.746523400125E+00  0.431395496694E+02
  0.118000000000E+01  0.234324088666E+01  0.184417988918E+02  0.184339833446E+02  0.737359345064E+00  0.412853714049E+02
  0.119000000000E+01  0.233362021986E+01  0.182024756294E+02  0.181943345556E+02  0.727773393296E+00  0.393530019977E+02
  0.120000000000E+01  0.232370267392E+01  0.179541554784E+02  0.179457416046E+02  0.717829675056E+00  0.373642098276E+02
  0.121000000000E+01  0.231350348423E+01  0.176983924305E+02  0.176897564614E+02  0.707590269132E+00  0.353395007136E+02
  0.122000000000E+01  0.230303714751E+01  0.174366716939E+02  0.174278617747E+02  0.697114481475E+00  0.332979400886E+02
  0.123000000000E+01  0.229231738060E+01  0.171703954620E+02  0.171614567704E+02  0.686458281122E+00  0.312570261069E+02
  0.124000000000E+01  0.228135710021E+01  0.169008724554E+02  0.168918469154E+02  0.675673886747E+00  0.292326089270E+02
  0.125000000000E+01  0.227016842156E+01  0.166293110087E+02  0.166202371181E+02  0.664809494692E+00  0.276647168325E+02
  0.126000000000E+01  0.225876267376E+01  0.163568154305E+02  0.163477281923E+02  0.653909137510E+00  0.263397897102E+02
