                time      kinetic_energy    dissipation_rate  dissipation_rate_2           enstrophy       enstrophy_max
  0.149000000000E+01  0.967937600788E+00  0.275984958406E+00  0.276243978044E+00  0.689962391320E+01  0.960974603239E+02
  0.150000000000E+01  0.975000188282E+00  0.275131313770E+00  0.275384324739E+00  0.687828279811E+01  0.944629855578E+02
  0.151000000000E+01  0.982146796518E+00  0.274280965149E+00  0.274528639353E+00  0.685702408335E+01  0.937109344961E+02
  0.152000000000E+01  0.989362561426E+00  0.273437683735E+00  0.273680699516E+00  0.683594204865E+01  0.931974236256E+02
  0.153000000000E+01  0.996631927487E+00  0.272605165785E+00  0.272844203007E+00  0.681512910050E+01  0.925993770245E+02
  0.154000000000E+01  0.100393866212E+01  0.271786991444E+00  0.272022726777E+00  0.679467474249E+01  0.919032405581E+02
  0.155000000000E+01  0.101126588014E+01  0.270986578952E+00  0.271219681394E+00  0.677466443059E+01  0.914370248874E+02
  0.156000000000E+01  0.101859607842E+01  0.270207135237E+00  0.270438261897E+00  0.675517833805E+01  0.910693927307E+02
  0.157000000000E+01  0.102591118063E+01  0.269451604044E+00  0.269681396170E+00  0.673629005848E+01  0.906055941432E+02
  0.158000000000E+01  0.103319259183E+01  0.268722612806E+00  0.268951692076E+00  0.671806527769E+01  0.900707576653E+02
  0.159000000000E+01  0.104042126270E+01  0.268022419582E+00  0.268251384638E+00  0.670056044718E+01  0.896216608032E+02
  0.160000000000E+01  0.104757776262E+01  0.267352861435E+00  0.267582284640E+00  0.668382149353E+01  0.891261374554E+02
  0.161000000000E+01  0.105464236125E+01  0.266715305651E+00  0.266945730054E+00  0.666788259887E+01  0.885833903685E+02
  0.162000000000E+01  0.106159511766E+01  0.266110605226E+00  0.266342541716E+00  0.665276508814E+01  0.879912972289E+02
  0.163000000000E+01  0.106841597616E+01  0.265539060041E+00  0.265772984666E+00  0.663847645838E+01  0.873466414796E+02
  0.164000000000E+01  0.107508486799E+01  0.265000385077E+00  0.265236736511E+00  0.662500958407E+01  0.866453945627E+02
  0.165000000000E+01  0.108158181762E+01  0.264493686937E+00  0.264732864110E+00  0.661234213035E+01  0.858830318065E+02
  0.166000000000E+01  0.108788705275E+01  0.264017449827E+00  0.264259809712E+00  0.660043620234E+01  0.850548622423E+02
  0.167000000000E+01  0.109398111677E+01  0.263569531929E+00  0.263815387518E+00  0.658923825461E+01  0.841563526739E+02
  0.168000000000E+01  0.109984498246E+01  0.263147172919E+00  0.263396791433E+00  0.657867927911E+01  0.831834282780E+02
  0.169000000000E+01  0.110546016585E+01  0.262747013116E+00  0.263000614481E+00  0.656867528377E+01  0.821327355025E+02
  0.170000000000E+01  0.111080883897E+01  0.262365124442E+00  0.262622880097E+00  0.655912806671E+01  0.810018573561E+02
  0.171000000000E+01  0.111587394033E+01  0.261997053133E+00  0.262259085203E+00  0.654992628379E+01  0.797894755637E+02
  0.172000000000E+01  0.112063928201E+01  0.261637873749E+00  0.261904254624E+00  0.654094679905E+01  0.786138014514E+02
  0.173000000000E+01  0.112508965226E+01  0.261282253781E+00  0.261553006124E+00  0.653205629980E+01  0.789500102373E+02
  0.174000000000E+01  0.112921091240E+01  0.260924527792E+00  0.261199624982E+00  0.652311315012E+01  0.790267197403E+02
  0.175000000000E+01  0.113299008731E+01  0.260558779742E+00  0.260838146744E+00  0.651396944899E+01  0.794741476901E+02
  0.176000000000E+01  0.113641544819E+01  0.260178931860E+00  0.260462446513E+00  0.650447325219E+01  0.803665478616E+02
  0.177000000000E+01  0.113947658703E+01  0.259778838216E+00  0.260066332897E+00  0.649447091144E+01  0.809271022705E+02
  0.178000000000E+01  0.114216448180E+01  0.259352380909E+00  0.259643644545E+00  0.648380947923E+01  0.811478106435E+02
  0.179000000000E+01  0.114447155177E+01  0.258893566723E+00  0.259188347112E+00  0.647233912518E+01  0.810289512269E+02
  0.180000000000E+01  0.114639170228E+01  0.258396622024E+00  0.258694628414E+00  0.645991550845E+01  0.805787770109E+02
  0.181000000000E+01  0.114792035853E+01  0.257856083721E+00  0.258156989612E+00  0.644640205173E+01  0.798128859718E+02
  0.182000000000E+01  0.114905448801E+01  0.257266884235E+00  0.257570330353E+00  0.643167206556E+01  0.798555224145E+02
  0.183000000000E+01  0.114979261130E+01  0.256624428627E+00  0.256930026029E+00  0.641561067645E+01  0.796754632913E+02
  0.184000000000E+01  0.115013480120E+01  0.255924662290E+00  0.256231995553E+00  0.639811651921E+01  0.791167939898E+02
  0.185000000000E+01  0.115008267020E+01  0.255164127944E+00  0.255472758405E+00  0.637910316185E+01  0.782075648188E+02
  0.186000000000E+01  0.114963934643E+01  0.254340011026E+00  0.254649480023E+00  0.635850024026E+01  0.769822631360E+02
  0.187000000000E+01  0.114880943853E+01  0.253450172936E+00  0.253760005037E+00  0.633625428945E+01  0.754801267428E+02
  0.188000000000E+01  0.114759898976E+01  0.252493171978E+00  0.252802878161E+00  0.631232926699E+01  0.745524086095E+02
  0.189000000000E+01  0.114601542199E+01  0.251468272183E+00  0.251777352967E+00  0.628670677365E+01  0.734098892431E+02
  0.190000000000E+01  0.114406747032E+01  0.250375440510E+00  0.250683389026E+00  0.625938598341E+01  0.723989332358E+02
  0.191000000000E+01  0.114176510896E+01  0.249215333208E+00  0.249521638230E+00  0.623038330243E+01  0.713280417261E+02
  0.192000000000E+01  0.113911946940E+01  0.247989272307E+00  0.248293421256E+00  0.619973178150E+01  0.701780653166E+02
  0.193000000000E+01  0.113614275171E+01  0.246699213410E+00  0.247000695362E+00  0.616748031065E+01  0.689633658293E+02
  0.194000000000E+01  0.113284812993E+01  0.245347706013E+00  0.245646014737E+00  0.613369262730E+01  0.676970354527E+02
  0.195000000000E+01  0.112924965255E+01  0.243937847667E+00  0.244232484718E+00  0.609844617018E+01  0.663907451918E+02
  0.196000000000E+01  0.112536213915E+01  0.242473233271E+00  0.242763711158E+00  0.606183081176E+01  0.650546501727E+02
  0.197000000000E+01  0.112120107410E+01  0.240957900755E+00  0.241243746190E+00  0.602394750030E+01  0.636973468607E+02
  0.198000000000E+01  0.111678249832E+01  0.239396274334E+00  0.239677031549E+00  0.598490684119E+01  0.623258767829E+02
  0.199000000000E+01  0.111212290003E+01  0.237793106403E+00  0.238068340501E+00  0.594482764424E+01  0.609457712469E+02
  0.200000000000E+01  0.110723910546E+01  0.236153419012E+00  0.236422719319E+00  0.590383546072E+01  0.595611316068E+02
